Time,vx,vy,vz,x,y,z,Bx,By,Bz,n
1542934830.0,-380.05531786308916,6.682830349343722,29.725189177716366,1440394.8678035,255205.244511,94669.17172,-0.89777010679245,-3.8574957847595215,-1.4519516229629517,5.8959268741920345
1542934890.0,-381.4571228027344,8.489279508590698,32.01923656463623,1440396.712823,255205.80400449998,94665.6745855,-0.7716350555419922,-3.8498775959014893,-1.1200215220451355,5.69459342956543
1542934950.0,-380.81655133356816,10.481365438367499,30.63913670524222,1440398.557971,255206.36332449998,94662.1774025,-2.0933034420013428,-3.480541706085205,-1.5506569743156433,6.007071799919253
1542935010.0,-375.0277862548828,6.8684293031692505,13.598312973976135,1440400.403247,255206.922471,94658.6801715,0.6147853136062622,-2.864282011985779,-1.8410497307777405,6.5515382289886475
1542935070.0,-370.3493677358158,6.7264586823885555,3.471067639647937,1440402.248651,255207.48144449998,94655.1828925,-2.8380374908447266,-1.445503056049347,-0.5013140439987183,6.163839746694096
1542935130.0,-369.32984924316406,13.17408561706543,8.497827529907227,1440404.094183,255208.04024499998,94651.6855655,-1.8285537958145142,-3.2595640420913696,-0.3079674392938614,5.53055214881897
1542935190.0,-368.90985107421875,16.422919695494606,9.356093047095127,1440405.9398425,255208.5988725,94648.18819,-1.109380304813385,-3.339215397834778,-1.3001278042793274,5.335809887432661
1542935250.0,-366.1645965576172,23.86394500732422,21.058810710906982,1440407.7856299998,255209.157327,94644.690766,-0.5664801150560379,-3.3211013078689575,-1.2315858602523804,5.263215780258179
1542935310.0,-363.7105532786885,23.63416668626129,20.332053356483335,1440409.631546,255209.7156085,94641.193294,0.34149038791656494,-3.4759199619293213,-0.7151040732860565,5.713958990378458
1542935370.0,-364.3630065917969,12.87947702407837,3.016812562942505,1440411.4775899998,255210.273717,94637.69577349999,1.8511295914649963,-2.2424715757369995,-2.0717785358428955,6.666897773742676
1542935430.0,-363.6998170946465,8.92567295324607,-1.7920884460699362,1440413.3237615,255210.83165200002,94634.19820449999,1.2467724084854126,-1.8996275663375854,-1.8429668545722961,7.402860094289311
1542935490.0,-359.55206298828125,7.599207878112793,4.6001139879226685,1440415.1700610002,255211.389414,94630.7005875,0.9136188924312592,-1.9598569869995117,-1.835545539855957,8.459112167358398
1542935550.0,-356.4508671995069,5.780621817854584,10.122443746347896,1440417.016489,255211.9470035,94627.2029225,2.03553307056427,-1.9433907866477966,-0.2581840008497238,9.31683050999876
1542935610.0,-357.0596466064453,6.798283338546753,10.592838287353516,1440418.863045,255212.5044195,94623.705209,1.7764763832092285,-1.8370108008384705,-0.911566287279129,9.051231861114502
1542935670.0,-361.45510714171365,12.756333257331223,10.532080634695586,1440420.7097284999,255213.0616625,94620.207447,1.5688757300376892,-2.1596330404281616,-0.8548691868782043,7.895433191393242
1542935730.0,-364.60621643066406,18.150062561035156,9.408082008361816,1440422.55654,255213.618733,94616.70963699999,1.9204843044281006,-2.5892914533615112,-0.2453862801194191,6.920012712478638
1542935790.0,-365.04034673972205,19.363230502019164,7.862292258465876,1440424.4034799999,255214.17563050002,94613.211779,2.33151638507843,-2.3829535245895386,0.08336860500276089,6.490980914381684
1542935850.0,-366.2676696777344,20.37123966217041,7.629019260406494,1440426.2505474999,255214.732355,94609.7138725,2.3539565801620483,-2.764193534851074,1.1584552526474,6.463685750961304
1542935910.0,-365.0445011326524,19.893315112004515,8.792525807365042,1440428.097743,255215.28890649998,94606.2159175,2.5832951068878174,-2.5295870304107666,1.0825250148773193,6.7985423901042
1542935970.0,-363.41539001464844,14.294023036956787,7.5826873779296875,1440429.945067,255215.845285,94602.7179145,2.1604491472244263,-2.7166097164154053,0.7458770871162415,7.1796934604644775
1542936030.0,-366.77506663004556,8.518326807022095,5.645395056406657,1440431.7925185,255216.40149100003,94599.219863,1.680152416229248,-2.732799768447876,0.8680236041545868,7.312320613861084
1542936090.0,-376.0283998583184,8.694547293616123,13.008653046654873,1440433.640098,255216.957524,94595.7217635,2.5288586616516113,-2.2777011394500732,1.4164730310440063,6.7542205325892715
1542936150.0,-382.37133839091314,10.496894664451725,21.36550362383733,1440435.487806,255217.513384,94592.223616,-0.2582711726427078,-4.32028341293335,-0.7082998752593994,6.136599548527451
1542936210.0,-383.4217071533203,11.13715410232544,21.56202507019043,1440437.3356415,255218.06907149998,94588.7254195,-1.261878252029419,-4.204357147216797,-1.3793865442276,5.96744179725647
1542936270.0,-383.43719685872395,11.360506010055541,20.627296225229898,1440439.183605,255218.624586,94585.227175,-1.4831500053405762,-4.114385366439819,-0.9966588318347931,6.166655453046163
1542936330.0,-382.8577255499168,10.679583486963491,18.343570896836578,1440441.031697,255219.179928,94581.7288825,-1.2683656215667725,-4.212698221206665,-0.9599577784538269,6.288568684312164
1542936390.0,-382.35184416223746,10.111809261509629,19.133270451279937,1440442.8799164998,255219.735097,94578.2305415,-1.3166888356208801,-4.1631879806518555,-1.0985096096992493,6.076694926277536
1542936450.0,-382.3302001953125,10.12103271484375,22.182344436645508,1440444.728264,255220.290093,94574.7321525,-0.5630890429019928,-4.791403770446777,-0.3857738524675369,5.835263013839722
1542936510.0,-382.0753016153971,10.026163625717164,22.227819220225015,1440446.57674,255220.84491649998,94571.2337155,-0.6261910796165466,-4.644125461578369,-0.5740846693515778,6.044079788525899
1542936570.0,-380.2817087642482,9.640143175594142,21.170175708708214,1440448.425344,255221.3995675,94567.73522999999,-1.037636637687683,-4.123360872268677,-0.7283366918563843,6.471284741260966
1542936630.0,-378.18321503185837,4.97980899888961,19.58501703231061,1440450.2740755,255221.954046,94564.236696,-1.149338185787201,-3.727949857711792,-1.2587583661079407,6.643057041480893
1542936690.0,-375.29582163492836,1.0453476428985595,10.240732524792353,1440452.1229349999,255222.5083515,94560.738114,-0.9886463582515717,-3.88266122341156,-1.2479223012924194,6.677344234784444
1542936750.0,-373.2024841308594,1.8543763756752014,1.2477476000785828,1440453.9719230002,255223.062484,94557.23948399999,-0.8397053480148315,-3.993396759033203,-1.2176885604858398,6.6597161293029785
1542936810.0,-373.83788111952487,2.7814369709765323,1.1907984194208363,1440455.8210385,255223.61644399998,94553.7408055,-0.3411480784416199,-4.251870632171631,-1.1436476111412048,6.569866876133153
1542936870.0,-374.7647249815894,-1.2773099688232925,8.940942815092743,1440457.670282,255224.1702315,94550.2420785,-0.4447855204343796,-4.187297105789185,-1.1319823861122131,6.538003522841657
1542936930.0,-373.977517191569,-0.7619428475697836,9.27703975836436,1440459.519654,255224.72384649998,94546.7433035,-0.42486903071403503,-4.1732635498046875,-0.9660961627960205,6.56456352074941
1542936990.0,-372.7248229980469,4.374891519546509,1.3244003057479858,1440461.369154,255225.277289,94543.2444805,-0.13584033772349358,-4.385041952133179,-0.9159762859344482,6.385640382766724
1542937050.0,-375.3991889328253,2.467619348744877,11.414058958897826,1440463.218782,255225.83055850002,94539.7456095,-0.24854650348424911,-4.239275693893433,-1.0842944979667664,6.300432885279421
1542937110.0,-377.9023307425077,1.4020695178235163,22.03371076114842,1440465.0685375,255226.38365550002,94536.24669,0.4230000078678131,-4.788266181945801,-0.8394218683242798,6.381141404636571
1542937170.0,-376.86094767252604,-2.863655199607213,19.615560181935628,1440466.918421,255226.93658,94532.747722,0.4725359231233597,-4.904953956604004,-0.9365460574626923,6.261987964312236
