Time,vx,vy,vz,x,y,z,Bx,By,Bz,n
1542934830.0,-350.2835287492788,35.43180344712837,-0.5512532361984848,1243448.1555504038,-134125.03567481533,-31368.115253336182,-0.15657640993595123,-4.372010231018066,-1.0261625051498413,3.2134605361827355
1542934890.0,-338.401186336443,16.84666217301212,-1.6855246287820567,1243447.5915696258,-134109.0731578875,-31369.347173051432,-0.24314762651920319,-4.386005401611328,-1.036231517791748,3.3513876752075147
1542934950.0,-344.7042469195676,17.8650738082154,-0.7119109775845023,1243447.0275888478,-134093.11064095967,-31370.579092766682,-0.2505081295967102,-4.2748122215271,-0.9926365613937378,3.5826849142435284
1542935010.0,-326.0362154517018,36.63186798540286,1.147267900584923,1243446.4636080698,-134077.14812403184,-31371.811012481932,-0.2674122154712677,-4.314407825469971,-0.9123815894126892,3.427930315434251
1542935070.0,-356.66019924153176,31.94581130572655,5.022935380051064,1243445.8996272918,-134061.185607104,-31373.042932197182,-0.27954816818237305,-4.133718967437744,-0.7852208018302917,3.634887790452042
1542935130.0,-340.8282186738029,13.584950417628455,0.4508838177131649,1243445.335646514,-134045.22309017618,-31374.274851912436,-0.41590118408203125,-3.9822535514831543,-0.9802883267402649,3.5830672177442366
1542935190.0,-323.374448290366,17.241584180687934,-3.868620911013684,1243444.771665736,-134029.26057324835,-31375.506771627686,-0.3293134868144989,-3.608095169067383,-1.043078899383545,3.9067675379781712
1542935250.0,-322.50645555478087,15.520714173162812,-3.1873554181558474,1243444.2076849581,-134013.29805632052,-31376.738691342936,-0.16945087909698486,-3.2780232429504395,-1.0085192918777466,3.9591487316508776
1542935310.0,-347.21196289758336,16.560738572106906,-3.8369639673410325,1243443.6437041801,-133997.3355393927,-31377.970611058186,0.3492219150066376,-2.9064128398895264,-0.4635443091392517,4.24557396857365
1542935370.0,-341.8292698717232,24.770501047206622,-6.068824496072337,1243443.0797234022,-133981.37302246486,-31379.202530773437,0.5736637115478516,-3.011683225631714,-0.34940704703330994,4.047792513699942
1542935430.0,-329.23958790888173,9.9738621036956,-1.0485475063323975,1243442.516527249,-133965.40999544907,-31380.4342610314,0.6946856379508972,-3.1553750038146973,-0.48736026883125305,4.072977411999507
1542935490.0,-349.9015433686134,42.970831746574106,-1.0485475063323975,1243441.9541157207,-133949.4464583453,-31381.66580183208,0.6191784143447876,-3.09401798248291,-0.6149102449417114,3.927895892199276
